LL XC,HL XC,HL Atoms,Post-HF Method,Basis,OH-H Distance,Total DFT Energy,Total Time
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.3620306864886795,-14897.902374305902,562.4431228637695
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.8620306864886793,-14898.288593589565,563.9700531959534
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.7620306864886794,-14898.285012936372,564.1442563533783
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.2620306864886794,-14897.59340225314,564.764226436615
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.9620306864886794,-14898.277634491771,565.7154641151428
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.4620306864886796,-14898.091670231935,566.8559069633484
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.5620306864886795,-14898.201879880393,569.128032207489
PBE,PBE0,36,RPA,NAO-VCC-3Z,1.6620306864886796,-14898.26020239657,570.1377284526825
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.362030686488679,-14898.19690564663,564.0603051185608
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.5620306864886793,-14898.153838928823,564.9141829013824
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.6620306864886794,-14898.134253706861,566.3539016246796
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.462030686488679,-14898.174821056475,566.3645579814911
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.7620306864886794,-14898.116221619064,568.1706504821777
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.0620306864886793,-14898.262531711303,569.6109347343445
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.16203068648868,-14898.241921594195,570.7486991882324
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.262030686488679,-14898.21956789169,571.3852052688599
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.2620306864886794,-14898.048994479737,562.763364315033
PBE,PBE0,36,RPA,NAO-VCC-3Z,2.862030686488679,-14898.099780801273,562.9247770309448
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.5620306864886793,-14898.023817937528,564.0072982311249
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.4620306864886787,-14898.031209289122,566.4006078243256
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.162030686488679,-14898.05961770804,567.1480443477631
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.362030686488679,-14898.039561815915,567.9012079238892
PBE,PBE0,36,RPA,NAO-VCC-3Z,3.0620306864886793,-14898.071554705315,569.2641098499298
